ITEM	CAL	FAT	SFAT	TFAT	CHOL	SALT	CARB	FBR	SGR	PRO	CATEGORY
Diet Dr Pepper® (Child) 12 fl oz cup	0	0	0	0	0	50	0	0	0	1	BEVERAGE
Diet Dr Pepper® (Large) 30 fl oz cup	0	0	0	0	0	140	0	0	0	4	BEVERAGE
Diet Dr Pepper® (Medium) 21 fl oz cup (513 g)	0	0	0	0	0	100	0	0	0	3	BEVERAGE
Dr Pepper® (Child) 12 fl oz cup	100	0	0	0	0	30	27	0	26	0	BEVERAGE
Dr Pepper® (Large) 30 fl oz cup	270	0	0	0	0	90	72	0	70	0	BEVERAGE
Dr Pepper® (Medium) 21 fl oz cup	190	0	0	0	0	65	53	0	51	0	BEVERAGE
Hi-C® Orange Lavaburst (Child) 12 fl oz cup	110	0	0	0	0	0	31	0	31	0	BEVERAGE
Hi-C® Orange Lavaburst (Large) 30 fl oz cup	310	0	0	0	0	0	84	0	84	0	BEVERAGE
Hi-C® Orange Lavaburst (Medium) 21 fl oz cup	230	0	0	0	0	0	61	0	61	0	BEVERAGE
Iced Coffee with Sugar Free French Vanilla Syrup (Large) 32 fl oz cup	160	9	6	0	35	135	18	0	2	2	BEVERAGE
Iced Coffee with Sugar Free French Vanilla Syrup (Medium) 22 fl oz cup	120	7	4.5	0	25	90	12	0	2	1	BEVERAGE
Iced Coffee with Sugar Free French Vanilla Syrup (Small) 16 fl oz cup	80	4.5	3	0	15	65	9	0	1	1	BEVERAGE
Iced Coffee Caramel (Large) 32 fl oz cup	260	9	6	0	35	65	43	0	42	2	BEVERAGE
Iced Coffee Caramel (Medium) 22 fl oz cup	180	7	4.5	0	25	50	29	0	28	1	BEVERAGE
Iced Coffee French Vanilla (Large) 32 fl oz cup	240	9	6	0	35	80	41	0	39	2	BEVERAGE
Iced Coffee French Vanilla (Medium) 22 fl oz cup	170	7	4.5	0	25	55	27	0	26	1	BEVERAGE
Iced Coffee Hazelnut (Large) 32 fl oz cup	250	9	6	0	35	75	43	0	41	2	BEVERAGE
Iced Coffee Hazelnut (Medium) 22 fl oz cup	180	7	4.5	0	25	50	29	0	28	1	BEVERAGE
Iced Coffee Regular (Large) 32 fl oz cup	270	9	6	0	35	75	47	0	45	2	BEVERAGE
Iced Coffee Regular (Medium) 22 fl oz cup	190	7	4.5	0	25	50	31	0	30	1	BEVERAGE
Iced Tea (Child) 12 fl oz cup	0	0	0	0	0	5	0	0	0	0	BEVERAGE
Iced Tea (Large) 30 fl oz cup	0	0	0	0	0	15	0	0	0	0	BEVERAGE
Iced Tea (Medium) 21 fl oz	0	0	0	0	0	10	0	0	0	0	BEVERAGE
Minute Maid® Orange Juice (Large) 22 fl oz cup	280	0	0	0	0	5	65	0	58	4	BEVERAGE
POWERade® Mountain Blast (Child) 12 fl oz cup	60	0	0	0	0	55	15	0	15	0	BEVERAGE
POWERade® Mountain Blast (Large) 30 fl oz cup	160	0	0	0	0	150	42	0	42	0	BEVERAGE
POWERade® Mountain Blast (Medium) 21 fl oz cup	120	0	0	0	0	105	30	0	30	0	BEVERAGE
Sprite® (Child) 12 fl oz cup	100	0	0	0	0	25	27	0	27	0	BEVERAGE
Sprite® (Large) 30 fl oz cup	280	0	0	0	0	60	74	0	74	0	BEVERAGE
Sprite® (Medium) 21 fl oz cup	200	0	0	0	0	45	54	0	54	0	BEVERAGE
Sweet Tea (Child) 12 fl oz cup	110	0	0	0	0	5	27	0	27	0	BEVERAGE
Sweet Tea (Large) 30 fl oz cup	220	0	0	0	0	10	54	0	54	1	BEVERAGE
Coffee (Small) 12 fl oz cup	0	0	0	0	0	0	0	0	0	0	MCCAFE
Frappe Mocha (Small) 12 fl oz cup	450	18	12	1	65	125	65	1	57	7	MCCAFE
Frappe Caramel (Small) 12 fl oz cup	450	19	12	1	65	125	64	0	57	7	MCCAFE
Frappe Chocolate Chip (Small) 12 fl oz cup	530	23	14	1	65	135	76	1	67	8	MCCAFE
Blueberry Pomegranate Smoothie (Small) 12 fl oz cup	220	0.5	0	0	5	40	50	3	44	2	MCCAFE
Strawberry Banana Smoothie (Small) 12 fl oz cup	210	0.5	0	0	5	50	47	3	44	3	MCCAFE
Mango Pineapple Smoothie (Small) 12 fl oz cup	220	1	0.5	0	5	45	49	2	47	3	MCCAFE
Vanilla McCafé Shake (12 fl oz cup) 12 fl oz	530	15	10	1	60	160	86	0	63	11	MCCAFE
Chocolate McCafé Shake (12 fl oz cup) 12 fl oz	560	16	10	1	60	240	91	1	77	12	MCCAFE
Strawberry McCafé Shake (12 fl oz cup) 12 fl oz	550	16	10	1	60	160	90	0	79	12	MCCAFE
Chocolate McCafé Shake (16 fl oz cup) 16 fl oz	700	20	12	1	75	300	114	2	97	15	MCCAFE
Chocolate McCafé Shake (22 fl oz cup) 22 fl oz	850	23	15	1	85	380	141	2	120	19	MCCAFE
Coffee (Large) 16 fl oz cup	0	0	0	0	0	0	0	0	0	0	MCCAFE
Frappe Caramel (Large) 22 fl oz cup	670	27	17	1.5	95	190	96	0	88	11	MCCAFE
Strawberry McCafé Shake (16 fl oz cup) 16 fl oz	690	20	13	1	75	210	114	0	100	15	MCCAFE
Strawberry McCafé Shake (22 fl oz cup) 22 fl oz	850	24	15	1	90	260	140	0	123	18	MCCAFE
Vanilla McCafé Shake (16 fl oz cup) 16 fl oz	660	19	12	1	75	200	109	0	81	14	MCCAFE
Vanilla McCafé Shake (22 fl oz cup) 22 fl oz	820	23	15	1	90	260	135	0	101	18	MCCAFE
Iced Mocha (Large) 22 fl oz cup	480	16	10	0.5	50	220	70	2	62	14	MCCAFE
Iced Mocha (Small) 12 fl oz cup	290	11	7	0	35	125	41	1	34	8	MCCAFE
Iced Mocha with Nonfat Milk (Large) 22 fl oz cup	390	6	3.5	0	25	220	71	2	62	14	MCCAFE
Iced Mocha with Nonfat Milk (Small) 12 fl oz cup	240	5	3	0	20	125	41	1	35	8	MCCAFE
Iced Coffee with Sugar Free French Vanilla Syrup (Large) 32 fl oz cup	160	9	6	0	35	135	18	0	2	2	MCCAFE
Iced Coffee with Sugar Free French Vanilla Syrup (Medium) 22 fl oz cup	120	7	4.5	0	25	90	12	0	2	1	MCCAFE
Iced Coffee with Sugar Free French Vanilla Syrup (Small) 16 fl oz cup	80	4.5	3	0	15	65	9	0	1	1	MCCAFE
Iced Coffee Caramel (Large) 32 fl oz cup	260	9	6	0	35	65	43	0	42	2	MCCAFE
Iced Coffee Caramel (Medium) 22 fl oz cup	180	7	4.5	0	25	50	29	0	28	1	MCCAFE
Iced Coffee Caramel (Small) 16 fl oz cup	130	4.5	3	0	15	35	22	0	21	1	MCCAFE
Iced Coffee French Vanilla (Large) 32 fl oz cup	240	9	6	0	35	80	41	0	39	2	MCCAFE
Iced Coffee French Vanilla (Medium) 22 fl oz cup	170	7	4.5	0	25	55	27	0	26	1	MCCAFE
Iced Coffee French Vanilla (Small) 16 fl oz cup	120	4.5	3	0	15	40	20	0	19	1	MCCAFE
Iced Coffee Hazelnut (Large) 32 fl oz cup	250	9	6	0	35	75	43	0	41	2	MCCAFE
Iced Coffee Hazelnut (Medium) 22 fl oz cup	180	7	4.5	0	25	50	29	0	28	1	MCCAFE
Iced Coffee Hazelnut (Small) 16 fl oz cup	130	4.5	3	0	15	35	21	0	20	1	MCCAFE
Iced Coffee Regular (Large) 32 fl oz cup	270	9	6	0	35	75	47	0	45	2	MCCAFE
Iced Coffee Regular (Medium) 22 fl oz cup	190	7	4.5	0	25	50	31	0	30	1	MCCAFE
Iced Coffee Regular (Small) 16 fl oz cup	140	4.5	3	0	15	35	23	0	22	1	MCCAFE
Mocha (Small) 12 fl oz cup	340	11	7	0	35	150	49	2	42	10	MCCAFE
Mocha (Medium) 16 fl oz cup	410	14	8	0	40	190	60	2	53	13	MCCAFE
Mocha (Large) 20 fl oz cup	500	17	10	0.5	50	240	72	2	63	16	MCCAFE
Mocha with Nonfat Milk (Small) 12 fl oz cup	270	3.5	2	0	15	150	49	2	43	11	MCCAFE
Mocha with Nonfat Milk (Medium) 16 fl oz cup	330	3.5	2	0	15	190	60	2	53	13	MCCAFE
Mocha with Nonfat Milk (Large) 20 fl oz cup	390	4	2.5	0	20	240	73	2	64	17	MCCAFE
Caramel Mocha (Small) 12 fl oz cup	320	11	7	0	35	170	45	1	40	10	MCCAFE
Caramel Mocha (Medium) 16 fl oz cup	390	14	8	0.5	40	220	55	1	50	12	MCCAFE
Caramel Mocha (Large) 20 fl oz cup	480	17	10	0.5	50	270	66	1	60	16	MCCAFE
Nonfat Caramel Mocha (Small) 12 fl oz cup	250	3.5	2	0	15	170	45	1	41	10	MCCAFE
Nonfat Caramel Mocha (Medium) 16 fl oz cup	310	3.5	2	0	15	210	56	1	51	13	MCCAFE
Nonfat Caramel Mocha (Large) 20 fl oz cup	370	3.5	2.5	0	20	270	67	1	61	17	MCCAFE
Latte (Small)  12 fl oz cup	170	9	5	0	25	115	15	1	12	9	MCCAFE
Latte (Medium) 16 fl oz cup	210	10	6	0	30	140	18	1	15	11	MCCAFE
Latte (Large) 20 fl oz cup	280	14	8	0	40	180	24	1	20	15	MCCAFE
Caramel Latte (Large) 20 fl oz cup	430	14	8	0	40	180	62	1	59	15	MCCAFE
Caramel Latte (Medium) 16 fl oz cup	340	10	6	0	30	140	50	1	48	11	MCCAFE
Caramel Latte (Small) 12 fl oz cup	270	9	5	0	25	115	40	1	38	9	MCCAFE
Hazelnut Latte (Small) 12 fl oz cup	270	9	5	0	25	115	40	1	38	9	MCCAFE
Hazelnut Latte (Medium) 16 fl oz cup	330	10	6	0	30	140	50	1	47	11	MCCAFE
Hazelnut Latte (Large) 20 fl oz cup	430	14	8	0	40	180	62	1	58	15	MCCAFE
French Vanilla Latte (Small) 12 fl oz cup	260	9	5	0	25	115	38	1	36	9	MCCAFE
French Vanilla Latte (Medium) 16 fl oz cup	330	10	6	0	30	140	48	1	45	11	MCCAFE
French Vanilla Latte (Large) 20 fl oz cup	420	14	8	0	40	190	60	1	56	15	MCCAFE
Latte with Sugar Free French Vanilla Syrup (Small) 12 fl oz cup	210	9	5	0	25	150	24	1	12	9	MCCAFE
Latte with Sugar Free French Vanilla Syrup (Medium) 16 fl oz cup	260	10	6	0	30	190	29	1	15	12	MCCAFE
Latte with Sugar Free French Vanilla Syrup (Large) 20 fl oz cup	330	14	8	0	40	240	37	2	20	15	MCCAFE
Nonfat Latte (Small) 12 fl oz cup	100	0	0	0	5	110	15	1	13	10	MCCAFE
Nonfat Latte (Medium) 16 fl oz cup	130	0	0	0	5	135	19	1	16	12	MCCAFE
Nonfat Latte (Large) 20 fl oz cup	170	0.5	0	0	10	180	25	1	21	16	MCCAFE
Nonfat Caramel Latte (Small) 12 fl oz cup	200	0	0	0	5	110	41	1	39	10	MCCAFE
Nonfat Caramel Latte (Medium) 16 fl oz cup	250	0	0	0	5	135	51	1	48	12	MCCAFE
Nonfat Caramel Latte (Large) 20 fl oz cup	310	0.5	0	0	10	180	63	1	59	16	MCCAFE
Nonfat Hazelnut Latte (Small) 12 fl oz cup	200	0	0	0	5	110	40	1	38	10	MCCAFE
Nonfat Hazelnut Latte (Medium) 16 fl oz cup	250	0	0	0	5	135	51	1	48	12	MCCAFE
Nonfat Hazelnut Latte (Large) 20 fl oz cup	310	0.5	0	0	10	180	63	1	59	16	MCCAFE
Nonfat French Vanilla Latte (Small) 12 fl oz cup	190	0	0	0	5	115	39	1	37	10	MCCAFE
Nonfat French Vanilla Latte (Medium) 16 fl oz cup	240	0	0	0	5	140	49	1	46	12	MCCAFE
Nonfat French Vanilla Latte (Large) 20 fl oz cup	300	0.5	0	0	10	180	60	1	56	16	MCCAFE
Nonfat Latte with Sugar Free French Vanilla Syrup (Small) 12 fl oz cup	140	0	0	0	5	150	24	1	13	10	MCCAFE
Nonfat Latte with Sugar Free French Vanilla Syrup (Medium) 16 fl oz cup	170	0	0	0	5	180	30	1	16	12	MCCAFE
Nonfat Latte with Sugar Free French Vanilla Syrup (Large) 20 fl oz cup	220	0.5	0	0	10	240	38	2	21	16	MCCAFE
Hot Chocolate (Small) 12 fl oz cup	360	13	8	0	40	180	50	1	45	11	MCCAFE
Hot Chocolate (Medium) 16 fl oz cup	440	16	9	0.5	50	220	61	1	56	14	MCCAFE
Hot Chocolate (Large) 20 fl oz cup	540	20	12	0.5	60	280	73	1	68	17	MCCAFE
Hot Chocolate with Nonfat Milk (Small) 12 fl oz cup	280	3.5	2	0	15	180	50	1	46	12	MCCAFE
Hot Chocolate with Nonfat Milk (Medium) 16 fl oz cup	340	3.5	2	0	15	220	61	1	57	14	MCCAFE
Blueberry Pomegranate Smoothie (Large) 22 fl oz cup	340	1	0.5	0	5	65	79	5	70	4	MCCAFE
Blueberry Pomegranate Smoothie (Medium) 16 fl oz cup	260	1	0	0	5	50	62	4	54	3	MCCAFE
Coffee (Medium) 16 fl oz cup	0	0	0	0	0	0	0	0	0	0	MCCAFE
Egg Nog McCafe Shake (16 fl oz cup) Medium 14.7 oz (418 g)	670	19	12	1	75	210	110	0	94	15	MCCAFE
Egg Nog McCafe Shake (22 fl oz cup) Large 18.2 oz (516 g)	830	23	15	1	90	270	136	0	117	18	MCCAFE
Frappe Chocolate Chip (Large) 22 fl oz cup	760	31	20	1.5	95	200	111	1	99	12	MCCAFE
Frappe Chocolate Chip (Medium) 16 fl oz cup	630	26	17	1	80	160	91	1	81	9	MCCAFE
Frappe Chocolate Covered Strawberry (Large) 22 fl oz cup	830	30	19	1.5	90	200	133	2	122	12	MCCAFE
Frappe Chocolate Covered Strawberry (Medium) 16 fl oz cup	690	26	17	1	75	160	107	2	98	10	MCCAFE
Hot Chocolate with Nonfat Milk (Large) 20 fl oz cup	400	3.5	2.5	0	20	280	74	1	69	19	MCCAFE
Mango Pineapple Smoothie (Large) 22 fl oz cup	340	1.5	1	0	5	70	78	4	74	5	MCCAFE
Mango Pineapple Smoothie (Medium) 16 fl oz cup	270	1	1	0	5	55	61	3	58	3	MCCAFE
McCafé Caramel Hot Chocolate with Nonfat Milk (Small) 12 fl oz cup	260	3.5	2	0	15	200	46	0	44	11	MCCAFE
McCafé Caramel Hot Chocolate with Nonfat Milk (Large) 20 fl oz cup	380	3.5	2.5	0	20	300	68	0	66	18	MCCAFE
McCafé Caramel Hot Chocolate with Nonfat Milk (Medium) 16 fl oz cup	310	3.5	2	0	20	240	57	0	54	14	MCCAFE
Shamrock McCafe® Shake (16 fl oz cup) 16 fl oz cup	660	19	12	1	75	210	109	0	93	14	MCCAFE
Shamrock McCafe® Shake (22 fl oz cup) 22 fl oz cup	820	23	15	1	90	260	135	0	115	18	MCCAFE
Iced Mocha (Medium) 16 fl oz cup	350	13	8	0	40	150	50	1	43	9	MCCAFE
Iced Mocha with Nonfat Milk (Medium) 16 fl oz cup	290	5	3.5	0	20	150	50	1	43	10	MCCAFE
Iced Caramel Mocha (Small) 12 fl oz cup	280	11	7	0	35	140	38	0	33	8	MCCAFE
Iced Caramel Mocha (Medium) 16 fl oz cup	340	13	7	0	40	170	46	1	41	9	MCCAFE
Iced Caramel Mocha (Large) 22 fl oz cup	460	16	10	0.5	50	250	65	1	59	13	MCCAFE
Iced Nonfat Caramel Mocha (Small) 12 fl oz cup	230	5	3	0	20	140	38	0	33	8	MCCAFE
Iced Nonfat Caramel Mocha (Medium) 16 fl oz cup	270	5	3	0	20	170	47	1	41	10	MCCAFE
Iced Nonfat Caramel Mocha (Large) 22 fl oz cup	370	6	3.5	0	25	250	65	1	59	14	MCCAFE
Frappe Mocha (Medium) 16 fl oz cup	550	22	14	1	75	160	80	1	71	9	MCCAFE
Frappe Mocha (Large) 22 fl oz cup	670	26	17	1	90	190	98	1	88	11	MCCAFE
Frappe Caramel (Medium) 16 fl oz cup	550	23	15	1	80	160	79	0	71	9	MCCAFE
Strawberry Banana Smoothie (Medium) 16 fl oz cup	250	1	0	0	5	60	58	3	54	4	MCCAFE
Strawberry Banana Smoothie (Large) 22 fl oz cup	330	1	0.5	0	5	80	74	4	70	5	MCCAFE
Vanilla Reduced Fat Ice Cream Cone 3.7 oz (105 g)	170	4.5	3	0	15	70	27	0	20	5	DESSERTSHAKE
Kiddie Cone 1 oz (29 g)	45	1.5	1	0	5	20	7	0	6	1	DESSERTSHAKE
Hot Fudge Sundae 6.3 oz (179 g)	330	9	7	0	25	170	53	1	48	8	DESSERTSHAKE
Hot Caramel Sundae 6.4 oz (182 g)	340	8	5	0	30	150	60	0	43	7	DESSERTSHAKE
Strawberry Sundae 6.3 oz (178 g)	280	6	4	0	25	85	49	0	45	6	DESSERTSHAKE
McFlurry® with M&M'S® Candies (12 fl oz cup) 10.9 oz (310 g)	650	23	14	0.5	50	180	96	1	89	13	DESSERTSHAKE
McFlurry® with OREO® Cookies (12 fl oz cup) 10.1 oz (285 g)	510	17	9	0.5	45	280	80	1	64	12	DESSERTSHAKE
Vanilla McCafé Shake (12 fl oz cup) 12 fl oz	530	15	10	1	60	160	86	0	63	11	DESSERTSHAKE
Chocolate McCafé Shake (12 fl oz cup) 12 fl oz	560	16	10	1	60	240	91	1	77	12	DESSERTSHAKE
Strawberry McCafé Shake (12 fl oz cup) 12 fl oz	550	16	10	1	60	160	90	0	79	12	DESSERTSHAKE
Baked Hot Apple Pie 2.7 oz (77 g)	250	13	7	0	0	170	32	4	13	2	DESSERTSHAKE
Chocolate Chip Cookie 1 cookie (33 g)	160	8	3.5	0	10	90	21	1	15	2	DESSERTSHAKE
Oatmeal Raisin Cookie 1 cookie (33 g)	150	6	2.5	0	10	135	22	1	13	2	DESSERTSHAKE
Fruit 'n Yogurt Parfait 5.2 oz (149 g)	150	2	1	0	5	70	30	1	23	4	DESSERTSHAKE
Chocolate McCafé Shake (16 fl oz cup) 16 fl oz	700	20	12	1	75	300	114	2	97	15	DESSERTSHAKE
Chocolate McCafé Shake (22 fl oz cup) 22 fl oz	850	23	15	1	85	380	141	2	120	19	DESSERTSHAKE
McFlurry® with M&M'S® Candies (16 fl oz cup) 16.2 oz (460 g)	930	33	20	1	75	260	139	2	128	20	DESSERTSHAKE
McFlurry® with OREO® Cookies (16 fl oz cup) 13.4 oz (381 g)	690	23	12	1	55	380	106	1	85	15	DESSERTSHAKE
Snack Size McFlurry® with M&M'S® Candies 7.3 oz (207 g)	430	15	10	0	35	120	64	1	59	9	DESSERTSHAKE
Snack Size McFlurry® with OREO® Cookies 6.7 oz (190 g)	340	11	6	0	30	190	53	1	43	8	DESSERTSHAKE
Snack Size McFlurry® with Rolo® 8.4 oz (238 g)	510	16	10	0.5	40	190	84	1	63	10	DESSERTSHAKE
Strawberry McCafé Shake (16 fl oz cup) 16 fl oz	690	20	13	1	75	210	114	0	100	15	DESSERTSHAKE
Strawberry McCafé Shake (22 fl oz cup) 22 fl oz	850	24	15	1	90	260	140	0	123	18	DESSERTSHAKE
Vanilla McCafé Shake (16 fl oz cup) 16 fl oz	660	19	12	1	75	200	109	0	81	14	DESSERTSHAKE
Vanilla McCafé Shake (22 fl oz cup) 22 fl oz	820	23	15	1	90	260	135	0	101	18	DESSERTSHAKE
Egg Nog McCafe Shake (16 fl oz cup) Medium 14.7 oz (418 g)	670	19	12	1	75	210	110	0	94	15	DESSERTSHAKE
Egg Nog McCafe Shake (22 fl oz cup) Large 18.2 oz (516 g)	830	23	15	1	90	270	136	0	117	18	DESSERTSHAKE
McFlurry® with Reese's Peanut Butter Cup® (16 fl oz cup) 14.2 oz (403 g)	810	32	15	1	60	400	114	2	103	21	DESSERTSHAKE
Shamrock McCafe® Shake (16 fl oz cup) 16 fl oz cup	660	19	12	1	75	210	109	0	93	14	DESSERTSHAKE
Shamrock McCafe® Shake (22 fl oz cup) 22 fl oz cup	820	23	15	1	90	260	135	0	115	18	DESSERTSHAKE
Snack Size Holiday Mint McFlurry® 6.9 oz (196 g)	380	14	10	0	30	110	56	0	51	8	DESSERTSHAKE
Snack Size McFlurry® with Reese's Peanut Butter Cup®  7.1 oz (202 g)	410	16	8	0	30	200	57	1	51	10	DESSERTSHAKE
Newman's Own® Creamy Southwest Dressing 1.5 fl oz (44 ml)	100	6	1	0	20	340	11	0	3	1	CONDIMENT
Newman's Own® Low Fat Balsamic Vinaigrette 1.5 fl oz (44 ml)	35	2.5	0	0	0	420	3	0	3	0	CONDIMENT
Ketchup Packet 1 pkg (9 g)	10	0	0	0	0	90	2	0	2	0	CONDIMENT
Newman's Own® Low Fat Family Recipe Italian Dressing 1.5 fl oz (44 ml)	50	2.5	0.5	0	0	390	7	0	2	1	CONDIMENT
Salt Packet 1 pkg (0.7 g)	0	0	0	0	0	270	0	0	0	0	CONDIMENT
Tangy Barbeque Sauce 1 pkg (28 g)	50	0	0	0	0	260	12	0	10	0	CONDIMENT
Honey 1 pkg (14 g)	50	0	0	0	0	0	12	0	11	0	CONDIMENT
Newman's Own® Ranch Dressing 2 fl oz (59 ml)	170	15	2.5	0	20	530	9	0	4	1	CONDIMENT
Sweet 'N Sour Sauce 1 pkg (28 g)	50	0	0	0	0	150	12	0	10	0	CONDIMENT
Peanuts (for Sundaes) 0.3 oz (7 g)	45	3.5	0.5	0	0	0	2	1	0	2	CONDIMENT
Spicy Buffalo Sauce 0.8 oz (22 g)	35	3	0	0	0	540	1	0	0	0	CONDIMENT
Creamy Ranch Sauce 0.8 oz (22 g)	110	12	2	0	5	170	1	0	1	0	CONDIMENT
Honey Mustard Sauce 0.8 oz (22 g)	60	4	0.5	0	5	115	6	1	5	0	CONDIMENT
Hotcake Syrup 1 pkg (60 g)	180	0	0	0	0	20	45	0	32	0	CONDIMENT
Whipped Margarine (1 pat) 1 pkg (6 g)	40	4.5	1.5	0	0	55	0	0	0	0	CONDIMENT
Grape Jam 0.5 oz (14 g)	35	0	0	0	0	0	9	0	9	0	CONDIMENT
Coffee Cream 0.4 fl oz (11 ml)	20	2	1.5	0	10	15	0	0	0	0	CONDIMENT
Strawberry Preserves 0.5 oz (14 g)	35	0	0	0	0	0	9	0	9	0	CONDIMENT
Sugar Packet 1 pkg (4.0 g)	15	0	0	0	0	0	4	0	4	0	CONDIMENT
EQUAL® 0 Calorie Sweetener 1 pkg (1.0 g)	0	0	0	0	0	0	1	0	1	0	CONDIMENT
SPLENDA® No Calorie Sweetener 1 pkg (1.0 g)	0	0	0	0	0	0	1	0	1	0	CONDIMENT
Buffalo Ranch McChicken 5.1 oz (145 g)	350	15	3	0	35	980	40	2	5	14	CONDIMENT
Hot Habanero Sauce 22 oz (0.8 g)	80	7	1	0	10	180	5	1	2	1	CONDIMENT
Newman's Own® Low Fat Sesame Ginger Dressing 1.5 fl oz (44 ml)	90	2.5	0	0	0	410	15	1	9	1	CONDIMENT
Premium McWrap Southwest Chicken (Grilled) 9.7 oz (275 g)	510	20	6	0	80	1280	53	4	9	31	CONDIMENT
Tartar Sauce Cup 1 oz (28 g)	140	15	2.5	0	10	150	0	0	0	0	CONDIMENT
